                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.92455,                0.72911,                 1.4528,                0.95749,                0.92933,                0.97421,                0.73557,                0.89838,                0.51601,                 1.4312,              0.0003368,              0.0003368,              0.0003368
                     87,                0.93798,                0.73679,                 1.4659,                0.95233,                0.93526,                0.97572,                0.73522,                0.89766,                0.51816,                 1.4322,               0.000317,               0.000317,               0.000317
                     88,                0.92543,                0.72722,                  1.452,                0.95691,                 0.9313,                0.97456,                0.73475,                0.89068,                0.51408,                 1.4258,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91652,                0.72963,                  1.445,                0.96252,                0.92175,                0.97347,                0.73784,                0.88652,                0.50779,                 1.4267,              0.0002774,              0.0002774,              0.0002774
                     90,                0.92269,                0.73089,                 1.4519,                0.95707,                0.93257,                0.97381,                0.73807,                0.87928,                0.50677,                 1.4253,              0.0002576,              0.0002576,              0.0002576
                     91,                0.86599,                0.55741,                 1.4998,                0.95419,                0.92929,                0.97125,                0.73492,                0.87932,                0.51094,                 1.4241,              0.0002378,              0.0002378,              0.0002378
                     92,                0.84365,                0.52047,                 1.4735,                0.95219,                0.92989,                0.97398,                0.73754,                0.88143,                0.50946,                 1.4156,               0.000218,               0.000218,               0.000218
                     93,                  0.833,                0.50982,                 1.4573,                 0.9618,                0.92909,                0.97718,                0.74956,                0.85946,                0.49039,                 1.3978,              0.0001982,              0.0001982,              0.0001982
                     94,                0.83729,                0.50761,                 1.4634,                0.96491,                0.93526,                0.97804,                0.75068,                0.86155,                0.48411,                 1.3938,              0.0001784,              0.0001784,              0.0001784
                     95,                0.82377,                0.49891,                  1.455,                  0.967,                0.93022,                0.97859,                0.75368,                 0.8512,                0.48116,                 1.3904,              0.0001586,              0.0001586,              0.0001586
                     96,                0.81634,                0.49317,                 1.4391,                0.96443,                0.93679,                0.97906,                0.75713,                0.84497,                0.47409,                 1.3805,              0.0001388,              0.0001388,              0.0001388
                     97,                0.82472,                0.49565,                 1.4499,                0.95289,                0.94319,                0.97921,                0.75696,                0.84602,                0.47965,                 1.3807,               0.000119,               0.000119,               0.000119
                     98,                0.81535,                0.48766,                 1.4368,                0.96175,                0.94473,                0.97951,                0.75866,                0.83744,                0.47199,                 1.3741,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.81694,                0.48411,                 1.4403,                0.96452,                0.93917,                0.97912,                0.76245,                0.83498,                0.46884,                 1.3706,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.80679,                 0.4856,                 1.4351,                0.96519,                0.93951,                0.97948,                 0.7607,                 0.8334,                0.46886,                 1.3696,               5.96e-05,               5.96e-05,               5.96e-05
